different digits: 272255

<digits> <times>
b'19861018' 22
b'0609' 22
b'19871225' 22
b'19891011' 22
b'9421' 22
b'1986121' 22
b'881112' 22
b'19871029' 22
b'699' 22
b'941' 22
b'041' 22
b'880628' 22
b'1989212' 22
b'112211' 22
b'19871027' 22
b'1986929' 22
b'19860125' 22
b'891027' 22
b'19821213' 22
b'9958' 22
b'19861017' 22
b'1717' 22
b'345678' 22
b'589' 22
b'871120' 22
b'19881007' 22
b'830313' 22
b'198311' 22
b'253' 22
b'184' 22
b'999888' 22
b'2007678' 22
b'1987919' 22
b'375' 22
b'758' 22
b'341' 22
b'358' 22
b'608' 22
b'555888' 22
b'198802' 22
b'861024' 22
b'231893' 22
b'19880223' 22
b'7415963' 22
b'144' 22
b'456987' 22
b'880127' 22
b'906' 22
b'19891115' 22
b'870829' 22
b'19890210' 22
b'0130' 22
b'963963' 22
b'232323' 22
b'841015' 22
