different specials: 2234

<specials> <times>
b'\xa3\xac\xa1\xa3\xa3\xbf\xa3\xa1\xa3\xba' 1
b'@$#%' 1
b'!`' 1
b'%&(' 1
b'@%!@@*' 1
b'$*#' 1
b'[]/' 1
b'/-\\' 1
b'@^!&' 1
b'!((#' 1
b'(!$' 1
b'|*' 1
b'=**' 1
b'%$#%$@$%' 1
b'@$^*)+' 1
b';/(' 1
b'!(@*' 1
b'%$#%' 1
b'##@' 1
b"/'\\" 1
b'&(^!&$' 1
b'(#@' 1
b'~&' 1
b'](' 1
b'\xa1\xea\xbc\xf2\xb5\xa5\xa1\xea <' 1
b'.!!!.' 1
b'(?)' 1
b'?>>' 1
b"\\][';" 1
b',.==' 1
b'.)!' 1
b'///**' 1
b'$@%' 1
b'$$$$##' 1
b'@)#&' 1
b'*#?' 1
b'@^)$' 1
b'/*~' 1
b'^^)^' 1
b'<<"' 1
b'*)@*!^#.' 1
b'<>()' 1
b'$$#$' 1
b'#&*' 1
b'<./' 1
b'\xbf\xb2\xcc\xd8\xb2\xae\xc0\xd7\xb4\xf3\xd6\xf7\xbd\xcc\xa1\xa1\xa1\xa1' 1
b'%*&(!^)' 1
b'(!@' 1
b' ~' 1
b'/*/*/*/*' 1
b'@@()(#$' 1
b'##!!!*#' 1
b'-=[]' 1
b'(*)^!%' 1
b',,,@' 1
b'**+**' 1
b'>(' 1
b'%$++' 1
b'!)!^@@' 1
b'^^~' 1
b'!@##@!' 1
b'+,' 1
b'.>' 1
b'**!!%%' 1
b'%%@#&%' 1
b'-=[]\\' 1
b'???*' 1
b'*)@#' 1
b'`]' 1
b'&&&#*' 1
b'\xa3\xa1@' 1
b'@%!)' 1
b'$^%' 1
b'=.=' 1
b'\'`"~!@#$' 1
b'!!!@' 1
b'!@$#' 1
b'+_)(*&^%' 1
b'*.!(*&' 1
b'@$$^*$*%^' 1
b'\xd6\xa3\xba\xa3\xbd\xdc' 1
b'+_+' 1
b'.*&)(' 1
b'!@#$%^_' 1
b'(@*#^&' 1
b';:\'"' 1
b'/:' 1
b'+++=' 1
b'++..++' 1
b'#$+' 1
b"$'" 1
b'+@=' 1
b'#^%)' 1
b'.^' 1
b'@)()#(' 1
b'&@%' 1
b'***---' 1
b'!@#^%$' 1
b'*(!@!%' 1
b'!@!' 1
b'\xa2\xe0\xa2\xdb\xa2\xe1' 1
b'\xa2\xdb\xa2\xe1\xa2\xdb' 1
b'@!@!' 1
b']]``' 1
b'!^!$' 1
b'(*)^!^' 1
b'`[].' 1
b'@>?' 1
b'@$^*<>' 1
b'}`' 1
b'%.' 1
b' %' 1
b'+&' 1
b'<>?()@' 1
b'!@+' 1
b'+++..' 1
b'%!$' 1
b'@!(' 1
b'#$@!&' 1
b'*/*/' 1
b'@@!_' 1
b'^!#' 1
b')@)&' 1
b"[]';" 1
b'~:' 1
b'#...' 1
b':/' 1
b'\xa1\xa4#\xa3\xa4' 1
b'!~~' 1
b"[]'/." 1
b'/.*' 1
b'((*&!^' 1
b'#!(' 1
b'^)%' 1
b'//*' 1
b"' && '" 1
b'!!@@##$$' 1
b'*****....' 1
b'?#' 1
b'$()#' 1
b'-;' 1
b'##@.' 1
b'-=.' 1
b'&$<>' 1
b'-@##@)' 1
b' /' 1
b'{}[]' 1
b'%@**' 1
b'./..' 1
b'%@!&' 1
b'~--' 1
b'.//' 1
b'*/.' 1
b'!#)($@$' 1
b'.\xff' 1
b')(*^*&%)' 1
b'`!!' 1
b'(|' 1
b'%(#' 1
b'!(*$^@&' 1
b'\xa6\xe1\xa6\xe4\xa6\xe1' 1
b'~~??' 1
b'*$!/' 1
b'_?_' 1
b'*@&%' 1
b'.-+' 1
b'-=/' 1
b'*(!!' 1
b')>' 1
b'!(()!@)(' 1
b'[*' 1
b'!#!$%@)' 1
b'{!' 1
b'(@!' 1
b'~_++' 1
b'*/-+' 1
b')(@#' 1
b'!(*#(' 1
b'#@)*)@' 1
b'$%.' 1
b',*' 1
b'.@*.' 1
b'@--' 1
b'$):' 1
b'[]@' 1
b'=-=***' 1
b'(()$#)' 1
b'^.^' 1
b'!@@(' 1
b'{:' 1
b')&!^' 1
b'<%@' 1
b'*)#$%' 1
b'+~' 1
b"<>''" 1
b'*#)' 1
b'!(&*' 1
b'^#%(' 1
b'.[]' 1
b'#^(' 1
b'\xc0\xee\xc0\xf6' 1
b'#$(' 1
b"-+'/?" 1
b')%!#' 1
b'[[][' 1
b'##$$%@)' 1
b'??+-' 1
b'??/' 1
b'!%^$##%' 1
b'!(*^@@' 1
b' (' 1
b'[@' 1
b'#]' 1
b')|' 1
b')!@' 1
b'^&*(' 1
b'%!^*^*(' 1
b'!(&' 1
b'@!#^' 1
b')&[' 1
b'[\xd7\xaa\xcc\xfb]\xc7\xe5\xbb\xaa\xbc\xc6\xcb\xe3\xbb\xfa' 1
b'\xa8\xa8???' 1
b'&&&*' 1
b'\xb0\xe6' 1
b'=#' 1
b'!((^#@*' 1
b'|+_)' 1
b'_+.' 1
b'&&)!!&' 1
b':_)' 1
b'@))@&@%' 1
b'\xc0\xcf\xcd\xe6' 1
b'(%^)!)' 1
b'$&.' 1
b';;;;;;' 1
b'($%' 1
b')%)!' 1
b'_@$' 1
b'**((!&$' 1
b'--!' 1
b'?!!?' 1
b"'''''''" 1
b'!&*!(' 1
b'!!@$' 1
b'(*&^%$' 1
b'$!&' 1
b'\xcf\xe3\xb8\xdb\xd2\xbb\xb5\xb0\xcc\xa2' 1
b'(())' 1
b'\\\xd2\xd1\xb0\xb2\xd7\xb0\xce\xc4\xbc\xfe\\' 1
b'\xc0\xee' 1
b'@(&&^)%' 1
b'!(^@!@' 1
b')!)$@)' 1
b'@)(&*!*' 1
b'(:' 1
b'***@@@' 1
b'#&@^' 1
b'-+=' 1
b')!!$!@@$' 1
b':::' 1
b'(@&' 1
b'#!)' 1
b'?:"' 1
b'&(!!#!' 1
b'%)^' 1
b'.+*-' 1
b'\xb5\xb3\xc5\xc9' 1
b"/'.;," 1
b'*!!!))@' 1
b'=======' 1
b'``\\\\' 1
b';@#$' 1
b'(!*' 1
b'~[' 1
b'-:_' 1
b'&^*$$^#' 1
b'$(&#(^*' 1
